"ESTSIM";"_65";"_66";"_67";"_68";"_69";"_70";"_71";"_72";"_73";"_74";"_75";"_76";"_77";"_78";"_79";"_80";"_81";"_82";"_83";"_84";"_85";"_86";"_87";"_88";"_89";"_90";"_97";"_98";"_99";"_100";"_101";"_102";"_103";"_104";"_105";"_106";"_107";"_108";"_109";"_110";"_111";"_112";"_113";"_114";"_115";"_116";"_117";"_118";"_119";"_120";"_121";"_122";"_48";"_49";"_50";"_51";"_52";"_53";"_54";"_55";"_56";"_57";"_43";"_45";"_47";"_42";"_60";"_62";"_95";"_40";"_41";"_123";"_125";"_91";"_93";"_58";"_46";"_61";"_39";"_34";"_44";"_32";"_124";"_94";"FDC";"CAT"
0;1;92;103;4;9;12;92;92;92;92;18;25;32;35;38;41;92;46;59;92;92;66;92;92;92;92;1;92;103;4;9;12;92;92;92;92;18;25;32;35;38;41;92;46;59;92;92;66;92;92;92;92;71;71;71;71;71;71;71;71;71;71;70;74;76;75;95;94;77;94;95;96;97;98;99;79;100;89;85;83;101;102;90;88;"Error";"FAIL"
1;92;92;92;92;92;92;92;92;92;92;92;2;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;2;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
2;92;92;92;92;92;92;92;92;3;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;3;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
3;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Palabra Reservada ALI";"PR01"
4;5;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;7;92;92;92;92;92;5;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;7;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
5;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;6;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;6;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
6;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Palabra Reservada DAR";"PR02"
7;92;92;92;92;92;92;92;92;92;92;92;92;8;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;8;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
8;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Palabra Reservada DUM";"PR03"
9;92;92;92;92;92;92;92;92;92;92;92;92;92;10;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;10;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;"Error";"FAIL"
